x	y	C
5	150	3
6	150	5
7	150	5
0	151	1
1	151	1
2	151	2
3	151	2
4	151	2
5	151	3
6	151	5
7	151	3
0	152	1
1	152	1
2	152	2
3	152	3
4	152	2
5	152	3
6	152	4
7	152	5
0	153	1
1	153	1
2	153	2
3	153	2
4	153	3
5	153	5
6	153	5
7	153	3
0	154	1
1	154	1
2	154	2
3	154	2
4	154	3
5	154	5
6	154	3
7	154	5
0	155	1
1	155	1
2	155	2
3	155	2
4	155	3
5	155	3
6	155	3
7	155	4
0	156	1
1	156	1
2	156	2
3	156	2
4	156	3
5	156	3
6	156	4
7	156	3
0	157	1
1	157	1
2	157	2
3	157	3
4	157	3
5	157	3
6	157	5
7	157	4
0	158	1
1	158	1
2	158	2
3	158	3
4	158	3
5	158	3
6	158	3
7	158	6
0	159	1
1	159	1
2	159	2
3	159	3
4	159	3
5	159	3
6	159	3
7	159	5
0	160	1
1	160	1
2	160	2
3	160	3
4	160	3
5	160	3
6	160	3
7	160	3
0	161	1
1	161	1
2	161	2
3	161	3
4	161	3
5	161	3
6	161	4
7	161	5
0	162	1
1	162	2
2	162	2
3	162	2
4	162	2
5	162	3
6	162	3
7	162	5
0	163	1
1	163	2
2	163	2
3	163	2
4	163	2
5	163	3
6	163	3
7	163	3
0	164	1
1	164	2
2	164	2
3	164	2
4	164	3
5	164	3
6	164	3
7	164	3
0	165	1
1	165	2
2	165	2
3	165	2
4	165	3
5	165	2
6	165	5
7	165	3
0	166	1
1	166	2
2	166	2
3	166	2
4	166	3
5	166	2
6	166	3
7	166	4
0	167	1
1	167	2
2	167	2
3	167	2
4	167	2
5	167	5
6	167	3
7	167	5
0	168	1
1	168	2
2	168	2
3	168	2
4	168	2
5	168	5
6	168	3
7	168	3
0	169	1
1	169	2
2	169	2
3	169	2
4	169	2
5	169	3
6	169	3
7	169	4
0	170	1
1	170	2
2	170	2
3	170	2
4	170	5
5	170	3
6	170	3
7	170	5
0	171	1
1	171	2
2	171	2
3	171	2
4	171	5
5	171	3
6	171	3
7	171	4
0	172	1
1	172	2
2	172	2
3	172	2
4	172	3
5	172	5
6	172	3
7	172	4
0	173	1
1	173	2
2	173	2
3	173	2
4	173	3
5	173	3
6	173	5
7	173	3
0	174	1
1	174	2
2	174	2
3	174	2
4	174	3
5	174	3
6	174	5
7	174	4
0	175	1
1	175	2
2	175	2
3	175	3
4	175	3
5	175	3
6	175	3
7	175	5
0	176	1
1	176	2
2	176	2
3	176	3
4	176	3
5	176	3
6	176	3
7	176	3
0	177	1
1	177	2
2	177	2
3	177	3
4	177	2
5	177	5
6	177	5
7	177	5
0	178	1
1	178	2
2	178	2
3	178	3
4	178	2
5	178	5
6	178	3
7	178	4
0	179	1
1	179	2
2	179	2
3	179	3
4	179	5
5	179	3
6	179	5
7	179	5
0	180	1
1	180	2
2	180	2
3	180	3
4	180	5
5	180	3
6	180	4
7	180	5
0	181	1
1	181	2
2	181	2
3	181	3
4	181	3
5	181	3
6	181	4
7	181	5
0	182	1
1	182	2
2	182	2
3	182	3
4	182	3
5	182	4
6	182	3
7	182	5
0	183	1
1	183	2
2	183	3
3	183	3
4	183	3
5	183	3
6	183	5
7	183	4
0	184	1
1	184	2
2	184	3
3	184	3
4	184	3
5	184	3
6	184	3
7	184	3
0	185	1
1	185	2
2	185	2
3	185	5
4	185	3
5	185	5
6	185	4
7	185	3
0	186	1
1	186	2
2	186	2
3	186	5
4	186	3
5	186	4
6	186	3
7	186	4
0	187	1
1	187	2
2	187	3
3	187	3
4	187	3
5	187	5
6	187	3
7	187	4
0	188	1
1	188	2
2	188	3
3	188	3
4	188	3
5	188	5
6	188	4
7	188	3
0	189	1
1	189	2
2	189	3
3	189	3
4	189	3
5	189	3
6	189	6
7	189	3
0	190	1
1	190	2
2	190	3
3	190	3
4	190	3
5	190	4
6	190	5
7	190	3
0	191	1
1	191	2
2	191	5
3	191	3
4	191	3
5	191	5
6	191	4
7	191	3
0	192	1
1	192	2
2	192	3
3	192	5
4	192	3
5	192	5
6	192	4
7	192	5
0	193	1
1	193	2
2	193	3
3	193	5
4	193	3
5	193	4
6	193	5
7	193	5
0	194	1
1	194	2
2	194	3
3	194	3
4	194	4
5	194	3
6	194	4
7	194	5
0	195	1
1	195	2
2	195	5
3	195	3
4	195	5
5	195	6
6	195	3
7	195	5
0	196	1
1	196	2
2	196	5
3	196	3
4	196	5
5	196	5
6	196	3
7	196	6
0	197	1
1	197	2
2	197	5
3	197	5
4	197	5
5	197	5
6	197	5
7	197	5
0	198	1
1	198	2
2	198	5
3	198	4
4	198	3
5	198	5
6	198	5
7	198	5
0	199	1
1	199	3
2	199	3
3	199	3
4	199	5
5	199	5
6	199	5
7	199	5
0	200	1
1	200	3
2	200	3
3	200	3
4	200	5
5	200	5
6	200	4
7	200	3
0	201	1
1	201	3
2	201	3
3	201	3
4	201	5
5	201	4
6	201	5
7	201	3
0	202	1
1	202	2
2	202	6
3	202	3
4	202	3
5	202	3
6	202	5
7	202	6
0	203	1
1	203	3
2	203	3
3	203	6
4	203	3
5	203	3
6	203	6
7	203	5
0	204	2
1	204	2
2	204	5
3	204	3
4	204	3
5	204	3
6	204	3
7	204	5
0	205	2
1	205	2
2	205	5
3	205	2
4	205	5
5	205	5
6	205	3
7	205	4
0	206	2
1	206	2
2	206	5
3	206	3
4	206	3
5	206	5
6	206	5
7	206	4
0	207	2
1	207	2
2	207	6
3	207	3
4	207	3
5	207	3
6	207	3
7	207	3
0	208	2
1	208	2
2	208	4
3	208	3
4	208	3
5	208	5
6	208	4
7	208	5
0	209	2
1	209	5
2	209	2
3	209	3
4	209	3
5	209	6
6	209	3
7	209	5
0	210	2
1	210	3
2	210	3
3	210	3
4	210	3
5	210	5
6	210	5
7	210	5
0	211	2
1	211	5
2	211	2
3	211	5
4	211	5
5	211	5
6	211	5
7	211	5
0	212	2
1	212	5
2	212	2
3	212	5
4	212	3
5	212	5
6	212	6
7	212	3
0	213	2
1	213	5
2	213	2
3	213	5
4	213	3
5	213	5
6	213	4
7	213	5
0	214	2
1	214	5
2	214	2
3	214	5
4	214	3
5	214	5
6	214	4
7	214	3
0	215	2
1	215	6
2	215	2
3	215	3
4	215	3
5	215	3
6	215	5
7	215	5
0	216	2
1	216	5
2	216	3
3	216	3
4	216	3
5	216	5
6	216	6
7	216	3
0	217	2
1	217	5
2	217	3
3	217	3
4	217	3
5	217	3
6	217	5
7	217	5
0	218	2
1	218	5
2	218	3
3	218	3
4	218	6
5	218	3
6	218	5
7	218	5
0	219	2
1	219	5
2	219	3
3	219	3
4	219	4
5	219	5
6	219	3
7	219	6
0	220	2
1	220	6
2	220	3
3	220	2
4	220	3
5	220	5
6	220	6
7	220	5
0	221	2
1	221	6
2	221	3
3	221	2
4	221	3
5	221	5
6	221	6
7	221	3
0	222	2
1	222	6
2	222	3
3	222	2
4	222	3
5	222	4
6	222	5
7	222	5
0	223	2
1	223	6
2	223	2
3	223	3
4	223	5
5	223	5
6	223	5
7	223	4
0	224	2
1	224	6
2	224	2
3	224	3
4	224	5
5	224	4
6	224	3
7	224	6
0	225	2
1	225	6
2	225	3
3	225	3
4	225	3
5	225	3
6	225	5
7	225	6
0	226	2
1	226	6
2	226	3
3	226	3
4	226	3
5	226	3
6	226	5
7	226	5
0	227	2
1	227	6
2	227	3
